ct_id,geo,units_total,units_bachelor,units_1br,units_2br,units_3br_plus,share_bachelor,share_1br,share_2br,share_3br_plus,rent_bachelor,rent_1br,rent_2br,rent_3br_plus,rent_total,vacancy_bachelor,vacancy_1br,vacancy_2br,vacancy_3br_plus,vacancy_total,median_household_income_2020,annual_rent_total,rent_income_pct,affordability_tier
1.0,0001.00 - Winnipeg,330.0,18.0,191.0,121.0,0.0,0.0545454545454545,0.5787878787878787,0.3666666666666666,0.0,760.0,968.0,1169.0,,1017.0,,0.0,0.0,,0.0,84000.0,12204.0,14.52857142857143,Lower relative burden
2.0,0002.00 - Winnipeg,384.0,19.0,181.0,159.0,25.0,0.0494791666666666,0.4713541666666667,0.4140625,0.0651041666666666,,1223.0,,,1379.0,,0.0,,,0.2,73500.0,16548.0,22.51428571428572,Higher relative burden
3.0,0003.00 - Winnipeg,673.0,20.0,451.0,194.0,8.0,0.0297176820208023,0.6701337295690936,0.288261515601783,0.0118870728083209,727.0,1008.0,1317.0,,1106.0,0.0,1.2,0.0,,0.8,68500.0,13272.0,19.375182481751825,Higher relative burden
4.01,0004.01 - Winnipeg,790.0,23.0,442.0,317.0,8.0,0.0291139240506329,0.5594936708860759,0.4012658227848101,0.010126582278481,,1140.0,1419.0,,1246.0,,,,,,74000.0,14952.0,20.205405405405404,Higher relative burden
4.02,0004.02 - Winnipeg,816.0,49.0,359.0,360.0,48.0,0.0600490196078431,0.4399509803921568,0.4411764705882353,0.0588235294117647,744.0,963.0,1130.0,,1052.0,,,0.4,,0.7,57600.0,12624.0,21.916666666666668,Higher relative burden
5.0,0005.00 - Winnipeg,,,,,,,,,,,,,,,,,,,,127000.0,,,
6.0,0006.00 - Winnipeg,571.0,0.0,117.0,350.0,104.0,0.0,0.2049036777583187,0.6129597197898424,0.1821366024518388,,,,,,,,,,,69000.0,,,
7.0,0007.00 - Winnipeg,202.0,0.0,80.0,121.0,1.0,0.0,0.396039603960396,0.599009900990099,0.0049504950495049,,980.0,1188.0,,1106.0,,,0.0,,,88000.0,13272.0,15.081818181818182,Lower relative burden
8.0,0008.00 - Winnipeg,31.0,0.0,30.0,1.0,0.0,0.0,0.967741935483871,0.032258064516129,0.0,,,,,,,,,,,137000.0,,,
9.0,0009.00 - Winnipeg,,,,,,,,,,,,,,,,,,,,126000.0,,,
10.0,0010.00 - Winnipeg,509.0,36.0,233.0,223.0,17.0,0.0707269155206286,0.4577603143418468,0.4381139489194499,0.0333988212180746,,1045.0,,,1258.0,,0.0,,,,103000.0,15096.0,14.65631067961165,Lower relative burden
11.0,0011.00 - Winnipeg,,66.0,,,46.0,,,,,903.0,1233.0,1654.0,,1416.0,0.0,1.6,2.7,,2.0,67500.0,16992.0,25.17333333333333,Highest relative burden
