ct_id,geo,statcan_dguid,median_household_income_2020
0001.00,0001.00 - Winnipeg,2021S05076020001.00,84000.0
0002.00,0002.00 - Winnipeg,2021S05076020002.00,73500.0
0003.00,0003.00 - Winnipeg,2021S05076020003.00,68500.0
0004.01,0004.01 - Winnipeg,2021S05076020004.01,74000.0
0004.02,0004.02 - Winnipeg,2021S05076020004.02,57600.0
0005.00,0005.00 - Winnipeg,2021S05076020005.00,127000.0
0006.00,0006.00 - Winnipeg,2021S05076020006.00,69000.0
0007.00,0007.00 - Winnipeg,2021S05076020007.00,88000.0
0008.00,0008.00 - Winnipeg,2021S05076020008.00,137000.0
0009.00,0009.00 - Winnipeg,2021S05076020009.00,126000.0
0010.00,0010.00 - Winnipeg,2021S05076020010.00,103000.0
0011.00,0011.00 - Winnipeg,2021S05076020011.00,67500.0
0012.00,0012.00 - Winnipeg,2021S05076020012.00,49600.0
0013.00,0013.00 - Winnipeg,2021S05076020013.00,50400.0
0014.00,0014.00 - Winnipeg,2021S05076020014.00,47200.0
0015.00,0015.00 - Winnipeg,2021S05076020015.00,37600.0
0016.00,0016.00 - Winnipeg,2021S05076020016.00,55600.0
0017.00,0017.00 - Winnipeg,2021S05076020017.00,76000.0
0018.00,0018.00 - Winnipeg,2021S05076020018.00,81000.0
0019.00,0019.00 - Winnipeg,2021S05076020019.00,78000.0
0020.00,0020.00 - Winnipeg,2021S05076020020.00,79500.0
0021.00,0021.00 - Winnipeg,2021S05076020021.00,63200.0
0022.00,0022.00 - Winnipeg,2021S05076020022.00,37600.0
0023.00,0023.00 - Winnipeg,2021S05076020023.00,39600.0
0024.00,0024.00 - Winnipeg,2021S05076020024.00,75000.0
0025.00,0025.00 - Winnipeg,2021S05076020025.00,45600.0
0026.00,0026.00 - Winnipeg,2021S05076020026.00,40400.0
0027.00,0027.00 - Winnipeg,2021S05076020027.00,57200.0
0028.00,0028.00 - Winnipeg,2021S05076020028.00,55200.0
0029.00,0029.00 - Winnipeg,2021S05076020029.00,74500.0
0030.00,0030.00 - Winnipeg,2021S05076020030.00,83000.0
0031.00,0031.00 - Winnipeg,2021S05076020031.00,78500.0
0032.00,0032.00 - Winnipeg,2021S05076020032.00,66500.0
0033.00,0033.00 - Winnipeg,2021S05076020033.00,65000.0
0034.00,0034.00 - Winnipeg,2021S05076020034.00,39600.0
0035.00,0035.00 - Winnipeg,2021S05076020035.00,49200.0
0036.00,0036.00 - Winnipeg,2021S05076020036.00,38400.0
0037.00,0037.00 - Winnipeg,2021S05076020037.00,74000.0
0038.00,0038.00 - Winnipeg,2021S05076020038.00,57600.0
0039.00,0039.00 - Winnipeg,2021S05076020039.00,61200.0
0040.00,0040.00 - Winnipeg,2021S05076020040.00,83000.0
0041.00,0041.00 - Winnipeg,2021S05076020041.00,73000.0
0042.00,0042.00 - Winnipeg,2021S05076020042.00,51600.0
0043.00,0043.00 - Winnipeg,2021S05076020043.00,46400.0
0044.00,0044.00 - Winnipeg,2021S05076020044.00,62000.0
0045.00,0045.00 - Winnipeg,2021S05076020045.00,62400.0
0046.00,0046.00 - Winnipeg,2021S05076020046.00,62000.0
0047.00,0047.00 - Winnipeg,2021S05076020047.00,74000.0
0048.00,0048.00 - Winnipeg,2021S05076020048.00,82000.0
0049.00,0049.00 - Winnipeg,2021S05076020049.00,94000.0
0050.01,0050.01 - Winnipeg,2021S05076020050.01,60800.0
0050.02,0050.02 - Winnipeg,2021S05076020050.02,87000.0
0051.01,0051.01 - Winnipeg,2021S05076020051.01,111000.0
0051.02,0051.02 - Winnipeg,2021S05076020051.02,110000.0
0051.03,0051.03 - Winnipeg,2021S05076020051.03,93000.0
0052.00,0052.00 - Winnipeg,2021S05076020052.00,
0100.01,0100.01 - Winnipeg,2021S05076020100.01,125000.0
0100.02,0100.02 - Winnipeg,2021S05076020100.02,144000.0
0100.05,0100.05 - Winnipeg,2021S05076020100.05,90000.0
0100.06,0100.06 - Winnipeg,2021S05076020100.06,86000.0
0100.07,0100.07 - Winnipeg,2021S05076020100.07,80000.0
0100.09,0100.09 - Winnipeg,2021S05076020100.09,133000.0
0100.10,0100.10 - Winnipeg,2021S05076020100.10,105000.0
0101.01,0101.01 - Winnipeg,2021S05076020101.01,91000.0
0101.02,0101.02 - Winnipeg,2021S05076020101.02,109000.0
0102.01,0102.01 - Winnipeg,2021S05076020102.01,79500.0
0102.02,0102.02 - Winnipeg,2021S05076020102.02,63200.0
0102.03,0102.03 - Winnipeg,2021S05076020102.03,60400.0
0102.04,0102.04 - Winnipeg,2021S05076020102.04,50800.0
0103.00,0103.00 - Winnipeg,2021S05076020103.00,92000.0
0104.00,0104.00 - Winnipeg,2021S05076020104.00,63600.0
0105.00,0105.00 - Winnipeg,2021S05076020105.00,81000.0
0110.01,0110.01 - Winnipeg,2021S05076020110.01,88000.0
0110.02,0110.02 - Winnipeg,2021S05076020110.02,101000.0
0110.04,0110.04 - Winnipeg,2021S05076020110.04,113000.0
