province,centre,ct_id,dwelling_type,units_bachelor,units_1br,units_2br,units_3br_plus,units_total
Man.,Winnipeg,0001.00,Apt & Other,18,191,121,0,330
Man.,Winnipeg,0002.00,Apt & Other,19,181,159,25,384
Man.,Winnipeg,0003.00,Apt & Other,20,451,194,8,673
Man.,Winnipeg,0004.01,Apt & Other,23,442,317,8,790
Man.,Winnipeg,0004.02,Apt & Other,49,359,360,48,816
Man.,Winnipeg,0005.00,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0006.00,Apt & Other,0,117,350,104,571
Man.,Winnipeg,0007.00,Apt & Other,0,80,121,1,202
Man.,Winnipeg,0008.00,Apt & Other,0,30,1,0,31
Man.,Winnipeg,0009.00,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0010.00,Apt & Other,36,233,223,17,509
Man.,Winnipeg,0011.00,Apt & Other,66,"1,200","1,098",46,"2,410"
Man.,Winnipeg,0012.00,Apt & Other,159,"1,123",795,52,"2,129"
Man.,Winnipeg,0013.00,Apt & Other,420,702,224,6,"1,352"
Man.,Winnipeg,0014.00,Apt & Other,567,"2,255","1,086",18,"3,926"
Man.,Winnipeg,0015.00,Apt & Other,512,"1,320",576,42,"2,450"
Man.,Winnipeg,0016.00,Apt & Other,48,146,153,17,364
Man.,Winnipeg,0017.00,Apt & Other,22,167,56,5,250
Man.,Winnipeg,0018.00,Apt & Other,34,58,18,1,111
Man.,Winnipeg,0019.00,Apt & Other,0,42,80,0,122
Man.,Winnipeg,0020.00,Apt & Other,0,32,40,0,72
Man.,Winnipeg,0021.00,Apt & Other,226,394,121,3,744
Man.,Winnipeg,0022.00,Apt & Other,159,462,158,19,798
Man.,Winnipeg,0023.00,Apt & Other,325,673,349,9,"1,356"
Man.,Winnipeg,0024.00,Apt & Other,13,116,95,0,224
Man.,Winnipeg,0025.00,Apt & Other,12,246,97,5,360
Man.,Winnipeg,0026.00,Apt & Other,19,38,28,5,90
Man.,Winnipeg,0027.00,Apt & Other,0,48,20,0,68
Man.,Winnipeg,0028.00,Apt & Other,82,380,211,8,681
Man.,Winnipeg,0029.00,Apt & Other,7,132,33,3,175
Man.,Winnipeg,0030.00,Apt & Other,26,147,35,0,208
Man.,Winnipeg,0031.00,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0032.00,Apt & Other,5,74,28,1,108
Man.,Winnipeg,0033.00,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0034.00,Apt & Other,0,22,20,1,43
Man.,Winnipeg,0035.00,Apt & Other,9,21,17,9,56
Man.,Winnipeg,0036.00,Apt & Other,2,17,10,0,29
Man.,Winnipeg,0037.00,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0038.00,Apt & Other,73,446,257,25,801
Man.,Winnipeg,0039.00,Apt & Other,43,270,124,3,440
Man.,Winnipeg,0040.00,Apt & Other,0,15,10,0,25
Man.,Winnipeg,0041.00,Apt & Other,10,36,25,1,72
Man.,Winnipeg,0042.00,Apt & Other,13,114,106,0,233
Man.,Winnipeg,0043.00,Apt & Other,10,46,34,2,92
Man.,Winnipeg,0044.00,Apt & Other,0,81,22,0,103
Man.,Winnipeg,0045.00,Apt & Other,4,109,66,5,184
Man.,Winnipeg,0046.00,Apt & Other,5,135,109,4,253
Man.,Winnipeg,0047.00,Apt & Other,0,46,27,0,73
Man.,Winnipeg,0048.00,Apt & Other,1,2,1,0,4
Man.,Winnipeg,0049.00,Apt & Other,1,4,2,0,7
Man.,Winnipeg,0050.01,Apt & Other,0,13,9,0,22
Man.,Winnipeg,0050.02,Apt & Other,5,63,36,0,104
Man.,Winnipeg,0051.01,Apt & Other,2,58,130,33,223
Man.,Winnipeg,0051.02,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0051.03,Apt & Other,0,71,107,36,214
Man.,Winnipeg,0052.00,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0100.01,Apt & Other,0,8,52,0,60
Man.,Winnipeg,0100.02,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0100.05,Apt & Other,0,51,114,0,165
Man.,Winnipeg,0100.06,Apt & Other,0,159,452,10,621
Man.,Winnipeg,0100.07,Apt & Other,0,15,166,9,190
Man.,Winnipeg,0100.09,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0100.10,Apt & Other,0,36,108,0,144
Man.,Winnipeg,0101.01,Apt & Other,2,241,199,4,446
Man.,Winnipeg,0101.02,Apt & Other,--,--,--,--,--
Man.,Winnipeg,0102.01,Apt & Other,0,66,150,28,244
Man.,Winnipeg,0102.02,Apt & Other,40,483,310,6,839
Man.,Winnipeg,0102.03,Apt & Other,11,366,344,12,733
Man.,Winnipeg,0102.04,Apt & Other,44,533,294,43,914
Man.,Winnipeg,0103.00,Apt & Other,4,68,26,0,98
Man.,Winnipeg,0104.00,Apt & Other,18,413,449,19,899
Man.,Winnipeg,0105.00,Apt & Other,3,226,49,1,279
Man.,Winnipeg,0110.01,Apt & Other,2,85,405,7,499
Man.,Winnipeg,0110.02,Apt & Other,0,80,194,0,274
Man.,Winnipeg,0110.04,Apt & Other,80,72,160,12,324
Man.,Winnipeg,0110.06,Apt & Other,0,86,221,0,307
Man.,Winnipeg,0110.08,Apt & Other,9,271,600,35,915
Man.,Winnipeg,0110.09,Apt & Other,2,75,125,50,252
Man.,Winnipeg,0111.00,Apt & Other,5,131,84,0,220
Man.,Winnipeg,0112.01,Apt & Other,8,71,73,0,152
Man.,Winnipeg,0112.02,Apt & Other,5,156,192,7,360
Man.,Winnipeg,0113.00,Apt & Other,16,116,72,16,220
Man.,Winnipeg,0114.00,Apt & Other,23,267,73,1,364
Man.,Winnipeg,0115.00,Apt & Other,23,91,86,1,201
