province,centre,ct_id,dwelling_type,vacancy_bachelor,reliability_bachelor,vacancy_1br,reliability_1br,vacancy_2br,reliability_2br,vacancy_3br_plus,reliability_3br_plus,vacancy_total,reliability_total,vacancy_bachelor_pct,vacancy_1br_pct,vacancy_2br_pct,vacancy_3br_plus_pct,vacancy_total_pct
Man.,Winnipeg,0001.00,Apt & Other,**,',0.0%,d,0.0%,d,--,',0.0%,d,,0.0,0.0,,0.0
Man.,Winnipeg,0002.00,Apt & Other,**,',0.0%,d,**,',**,',0.2%,b,,0.0,,,0.2
Man.,Winnipeg,0003.00,Apt & Other,0.0%,d,1.2%,a,0.0%,d,**,',0.8%,a,0.0,1.2,0.0,,0.8
Man.,Winnipeg,0004.01,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0004.02,Apt & Other,**,',**,',0.4%,b,**,',0.7%,b,,,0.4,,0.7
Man.,Winnipeg,0005.00,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0006.00,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0007.00,Apt & Other,--,',**,',0.0%,d,**,',**,',,,0.0,,
Man.,Winnipeg,0008.00,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0009.00,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0010.00,Apt & Other,**,',0.0%,d,**,',**,',**,',,0.0,,,
Man.,Winnipeg,0011.00,Apt & Other,0.0%,d,1.6%,c,2.7%,c,**,',2.0%,c,0.0,1.6,2.7,,2.0
Man.,Winnipeg,0012.00,Apt & Other,**,',0.1%,b,0.3%,b,0.0%,d,0.3%,a,,0.1,0.3,0.0,0.3
Man.,Winnipeg,0013.00,Apt & Other,2.6%,b,3.2%,a,7.0%,a,**,',3.6%,a,2.6,3.2,7.0,,3.6
Man.,Winnipeg,0014.00,Apt & Other,5.5%,d,3.2%,b,2.7%,b,**,',3.4%,c,5.5,3.2,2.7,,3.4
Man.,Winnipeg,0015.00,Apt & Other,3.5%,d,3.3%,c,4.2%,d,4.3%,d,3.6%,b,3.5,3.3,4.2,4.3,3.6
Man.,Winnipeg,0016.00,Apt & Other,**,',0.0%,d,**,',**,',**,',,0.0,,,
Man.,Winnipeg,0017.00,Apt & Other,**,',**,',**,',**,',0.6%,b,,,,,0.6
Man.,Winnipeg,0018.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0019.00,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0020.00,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0021.00,Apt & Other,**,',**,',**,',**,',4.5%,d,,,,,4.5
Man.,Winnipeg,0022.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0023.00,Apt & Other,4.8%,b,3.8%,a,3.6%,a,**,',4.0%,a,4.8,3.8,3.6,,4.0
Man.,Winnipeg,0024.00,Apt & Other,**,',4.1%,a,5.5%,a,--,',4.9%,a,,4.1,5.5,,4.9
Man.,Winnipeg,0025.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0026.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0027.00,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0028.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0029.00,Apt & Other,**,',0.0%,d,**,',**,',0.0%,d,,0.0,,,0.0
Man.,Winnipeg,0030.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0031.00,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0032.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0033.00,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0034.00,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0035.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0036.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0037.00,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0038.00,Apt & Other,**,',3.7%,d,5.2%,d,**,',3.9%,d,,3.7,5.2,,3.9
Man.,Winnipeg,0039.00,Apt & Other,**,',**,',0.0%,d,**,',**,',,,0.0,,
Man.,Winnipeg,0040.00,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0041.00,Apt & Other,8.5%,a,**,',**,',**,',**,',8.5,,,,
Man.,Winnipeg,0042.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0043.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0044.00,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0045.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0046.00,Apt & Other,**,',9.6%,c,**,',**,',7.9%,c,,9.6,,,7.9
Man.,Winnipeg,0047.00,Apt & Other,--,',2.5%,a,**,',--,',1.6%,b,,2.5,,,1.6
Man.,Winnipeg,0048.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0049.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0050.01,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0050.02,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0051.01,Apt & Other,**,',1.7%,a,1.6%,a,**,',1.4%,a,,1.7,1.6,,1.4
Man.,Winnipeg,0051.02,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0051.03,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0052.00,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0100.01,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0100.02,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0100.05,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0100.06,Apt & Other,--,',1.4%,a,**,',**,',0.5%,b,,1.4,,,0.5
Man.,Winnipeg,0100.07,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0100.09,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0100.10,Apt & Other,--,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0101.01,Apt & Other,**,',0.7%,b,0.4%,b,**,',0.5%,b,,0.7,0.4,,0.5
Man.,Winnipeg,0101.02,Apt & Other,--,,--,,--,,--,,--,,,,,,
Man.,Winnipeg,0102.01,Apt & Other,--,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0102.02,Apt & Other,**,',3.3%,d,0.0%,d,**,',1.7%,c,,3.3,0.0,,1.7
Man.,Winnipeg,0102.03,Apt & Other,**,',**,',**,',**,',**,',,,,,
Man.,Winnipeg,0102.04,Apt & Other,**,',0.0%,a,0.6%,a,0.0%,a,0.3%,a,,0.0,0.6,0.0,0.3
Man.,Winnipeg,0103.00,Apt & Other,**,',**,',**,',--,',**,',,,,,
Man.,Winnipeg,0104.00,Apt & Other,**,',**,',0.5%,a,**,',0.4%,a,,,0.5,,0.4
Man.,Winnipeg,0105.00,Apt & Other,**,',**,',**,',**,',**,',,,,,
